classificacao,produto,escala,mi,mi_planilha,qtd_entregas_2026,obs
gap_real,Topo,25k,2677-1-NE,2677-1-NE,1,MI ausente do acervo
gap_real,Topo,25k,2840-3-NE,2840-3-NE,2,MI ausente do acervo
gap_real,Topo,25k,2888-2-SE,2888-2-SE,1,MI ausente do acervo
gap_real,Topo,25k,2924-4-SE,2924-4-SE,1,MI ausente do acervo
gap_real,Topo,25k,2925-3-SE,2925-3-SE,1,MI ausente do acervo
gap_real,Topo,25k,2925-3-SO,2925-3-SO,1,MI ausente do acervo
gap_real,Topo,25k,2940-2-NE,2940-2-NE,1,MI ausente do acervo
gap_real,Topo,25k,2941-1-NE,2941-1-NE,1,MI ausente do acervo
gap_real,Topo,25k,2941-1-NO,2941-1-NO,1,MI ausente do acervo
gap_real,Topo,25k,2953-1-NE,2953-1-NE,1,MI ausente do acervo
gap_real,Topo,25k,2953-1-SE,2953-1-SE,1,MI ausente do acervo
gap_real,Topo,25k,2953-2-NE,2953-2-NE,1,MI ausente do acervo
gap_real,Topo,25k,2953-2-NO,2953-2-NO,1,MI ausente do acervo
gap_real,Topo,25k,2953-2-SE,2953-2-SE,1,MI ausente do acervo
gap_real,Topo,25k,2953-2-SO,2953-2-SO,1,MI ausente do acervo
gap_real,Topo,50k,2660-1,2660-1,1,MI ausente do acervo
gap_real,Topo,50k,2866-4,2866-4,9,MI ausente do acervo
gap_real,Topo,50k,2877-3,2877-3,1,MI ausente do acervo
gap_real,Topo,50k,2877-4,2877-4,2,MI ausente do acervo
gap_real,Topo,50k,2878-1,2878-1,2,MI ausente do acervo
gap_real,Topo,50k,2878-2,2878-2,3,MI ausente do acervo
gap_real,Topo,50k,2878-3,2878-3,2,MI ausente do acervo
gap_real,Topo,50k,2878-4,2878-4,3,MI ausente do acervo
gap_real,Topo,50k,2879-1,2879-1,3,MI ausente do acervo
gap_real,Topo,50k,2879-2,2879-2,2,MI ausente do acervo
gap_real,Topo,50k,2879-3,2879-3,2,MI ausente do acervo
gap_real,Topo,50k,2879-4,2879-4,2,MI ausente do acervo
gap_real,Topo,50k,2888-2,2888-2,1,MI ausente do acervo
gap_real,Orto,25k,2758-3-NE,2758-3-NE,1,MI ausente do acervo
gap_real,Orto,25k,2758-3-NO,2758-3-NO,1,MI ausente do acervo
gap_real,Orto,25k,2758-3-SE,2758-3-SE,1,MI ausente do acervo
gap_real,Orto,25k,2758-3-SO,2758-3-SO,1,MI ausente do acervo
gap_real,Orto,25k,2758-4-NE,2758-4-NE,1,MI ausente do acervo
gap_real,Orto,25k,2758-4-NO,2758-4-NO,1,MI ausente do acervo
gap_real,Orto,25k,2758-4-SE,2758-4-SE,1,MI ausente do acervo
gap_real,Orto,25k,2758-4-SO,2758-4-SO,1,MI ausente do acervo
gap_real,Orto,25k,2784-1-NE,2784-1-NE,1,MI ausente do acervo
gap_real,Orto,25k,2784-1-NO,2784-1-NO,1,MI ausente do acervo
gap_real,Orto,25k,2784-1-SE,2784-1-SE,1,MI ausente do acervo
gap_real,Orto,25k,2784-1-SO,2784-1-SO,1,MI ausente do acervo
gap_real,Orto,25k,2784-2-NE,2784-2-NE,1,MI ausente do acervo
gap_real,Orto,25k,2784-2-NO,2784-2-NO,1,MI ausente do acervo
gap_real,Orto,25k,2784-2-SE,2784-2-SE,1,MI ausente do acervo
gap_real,Orto,25k,2784-2-SO,2784-2-SO,1,MI ausente do acervo
gap_real,Orto,25k,2881-1-SE,2881-1-SE,1,MI ausente do acervo
gap_real,Orto,25k,2881-2-SE,2881-2-SE,1,MI ausente do acervo
gap_real,Orto,25k,2881-2-SO,2881-2-SO,1,MI ausente do acervo
gap_real,Orto,25k,2881-3-NE,2881-3-NE,2,MI ausente do acervo
gap_real,Orto,25k,2881-3-SE,2881-3-SE,2,MI ausente do acervo
gap_real,Orto,25k,2881-4-NE,2881-4-NE,2,MI ausente do acervo
gap_real,Orto,25k,2881-4-NO,2881-4-NO,2,MI ausente do acervo
gap_real,Orto,25k,2881-4-SE,2881-4-SE,2,MI ausente do acervo
gap_real,Orto,25k,2881-4-SO,2881-4-SO,2,MI ausente do acervo
gap_real,Orto,25k,2882-1-SE,2882-1-SE,1,MI ausente do acervo
gap_real,Orto,25k,2882-1-SO,2882-1-SO,1,MI ausente do acervo
gap_real,Orto,25k,2882-3-NE,2882-3-NE,2,MI ausente do acervo
gap_real,Orto,25k,2882-3-NO,2882-3-NO,2,MI ausente do acervo
gap_real,Orto,25k,2882-3-SE,2882-3-SE,2,MI ausente do acervo
gap_real,Orto,25k,2882-3-SO,2882-3-SO,2,MI ausente do acervo
gap_real,Orto,25k,2882-4-NO,2882-4-NO,2,MI ausente do acervo
gap_real,Orto,25k,2882-4-SO,2882-4-SO,2,MI ausente do acervo
gap_real,Orto,25k,2893-2-NE,2893-2-NE,1,MI ausente do acervo
gap_real,Orto,25k,2894-1-NE,2894-1-NE,1,MI ausente do acervo
gap_real,Orto,25k,2894-1-NO,2894-1-NO,1,MI ausente do acervo
gap_real,Orto,25k,2894-3-NE,2894-3-NE,3,MI ausente do acervo
gap_real,Orto,25k,2894-3-NO,2894-3-NO,2,MI ausente do acervo
gap_real,Orto,25k,2894-4-NO,2894-4-NO,1,MI ausente do acervo
gap_real,Orto,25k,2924-4-SE,2924-4-SE,1,MI ausente do acervo
gap_real,Orto,25k,2925-3-SE,2925-3-SE,1,MI ausente do acervo
gap_real,Orto,25k,2925-3-SO,2925-3-SO,1,MI ausente do acervo
gap_real,Orto,25k,2940-2-NE,2940-2-NE,1,MI ausente do acervo
gap_real,Orto,25k,2941-1-NE,2941-1-NE,1,MI ausente do acervo
gap_real,Orto,25k,2941-1-NO,2941-1-NO,1,MI ausente do acervo
gap_real,Orto,100k,2881,2881,1,MI ausente do acervo
gap_real,Orto,100k,2882,2882,1,MI ausente do acervo
gap_real,Orto,100k,2893,2893,1,MI ausente do acervo
gap_real,Orto,100k,2894,2894,1,MI ausente do acervo
gap_real,Orto,100k,3019,3019,1,MI ausente do acervo
gap_real,Orto,100k,3020,3020,1,MI ausente do acervo
gap_real,Orto,100k,3023,3023,1,MI ausente do acervo
gap_real,Orto,100k,3024,3024,1,MI ausente do acervo
gap_real,Orto,100k,3025,3025,1,MI ausente do acervo
gap_real,Orto,100k,3029,3029,1,MI ausente do acervo
provavel_gap,Topo,25k,2840-1-NE,2840-1-NE,2,so existe como Orto/25k
provavel_gap,Topo,25k,2840-1-SE,2840-1-SE,2,so existe como Orto/25k
provavel_gap,Topo,50k,2867-3,2867-3,9,so existe como Orto/50k
provavel_gap,Topo,50k,2867-4,2867-4,11,so existe como Orto/50k
provavel_gap,Orto,25k,2799-1-NE,2799-1-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-1-SE,2799-1-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-2-NE,2799-2-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-2-NO,2799-2-NO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-2-SE,2799-2-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-2-SO,2799-2-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-3-NE,2799-3-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-3-SE,2799-3-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-4-NE,2799-4-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-4-NO,2799-4-NO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-4-SE,2799-4-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2799-4-SO,2799-4-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-1-NE,2816-1-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-1-SE,2816-1-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-2-NE,2816-2-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-2-NO,2816-2-NO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-2-SE,2816-2-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-2-SO,2816-2-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-3-NE,2816-3-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-3-SE,2816-3-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-3-SO,2816-3-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-4-NE,2816-4-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-4-NO,2816-4-NO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-4-SE,2816-4-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2816-4-SO,2816-4-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2831-4-SE,2831-4-SE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-1-NE,2832-1-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-1-NO,2832-1-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-1-SE,2832-1-SE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-1-SO,2832-1-SO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-2-NE,2832-2-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-2-NO,2832-2-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-2-SE,2832-2-SE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-2-SO,2832-2-SO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-3-NE,2832-3-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-3-NO,2832-3-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-3-SE,2832-3-SE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-3-SO,2832-3-SO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-4-NE,2832-4-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-4-NO,2832-4-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-4-SE,2832-4-SE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2832-4-SO,2832-4-SO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2846-2-NE,2846-2-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2847-1-NE,2847-1-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2847-1-NO,2847-1-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2847-1-SO,2847-1-SO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2847-2-NE,2847-2-NE,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2847-2-NO,2847-2-NO,1,"so existe como CDGV/25k, Topo/25k"
provavel_gap,Orto,25k,2867-1-SE,2867-1-SE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2867-2-SO,2867-2-SO,1,so existe como Topo/25k
provavel_gap,Orto,25k,2867-3-NE,2867-3-NE,1,so existe como Topo/25k
provavel_gap,Orto,25k,2867-4-NO,2867-4-NO,1,so existe como Topo/25k
