tipo_produto,escala,inom,cont_edicao_planilha,ano_planilha,flag_arquivo,classificacao,nome,anos_acervo_folha
topo,100k,SG-22-V-C-II,2,2023,sim,moderno>=2016,TRÊS BARRAS DO PARANÁ,1961
topo,100k,SH-21-Z-B-I,2,2023,nao,moderno>=2016,CAPELA DO SAICÃ,1981
topo,100k,SH-21-Z-B-II,2,2023,nao,moderno>=2016,ROSÁRIO DO SUL,1982
topo,100k,SH-21-Z-B-III,3,2023,nao,moderno>=2016,SÃO GABRIEL,1982 1982
topo,50k,SF-22-Y-C-I-1,1,2016,nao,moderno>=2016,RIO LARANJAÍ,2021
topo,50k,SG-21-X-B-I-2,1,2016,nao,moderno>=2016,MI-2797-2,
topo,50k,SG-22-Y-B-V-3,1,2019,nao,moderno>=2016,CAMPINA DA ALEGRIA,
topo,50k,SG-22-Y-B-V-4,1,2019,nao,moderno>=2016,ÁGUA DOCE,
topo,50k,SG-22-Y-B-VI-3,1,2019,nao,moderno>=2016,TREZE TÍLIAS,
topo,50k,SG-22-Y-B-VI-4,1,2019,nao,moderno>=2016,CAÇADOR,
topo,50k,SG-22-Y-D-I-2,1,2019,nao,moderno>=2016,CONCÓRDIA,
topo,50k,SG-22-Y-D-II-1,1,2019,nao,moderno>=2016,CONCÓRDIA - E,
topo,50k,SG-22-Y-D-II-2,1,2019,nao,moderno>=2016,JOACABA,
topo,50k,SG-22-Y-D-III-1,1,2019,nao,moderno>=2016,HERVAL D'OESTE,
topo,50k,SG-22-Y-D-III-2,1,2019,nao,moderno>=2016,VIDEIRA,
topo,50k,SG-22-Y-D-III-3,1,2019,nao,moderno>=2016,ERVAL VELHO,
topo,50k,SG-22-Y-D-III-4,1,2019,nao,moderno>=2016,CAMPOS NOVOS,
topo,50k,SG-22-Y-D-VI-2,1,2019,nao,moderno>=2016,ANITA GARIBALDI,
topo,50k,SG-22-Z-A-I-4,1,2019,nao,moderno>=2016,SÃO PASCOAL,
topo,50k,SG-22-Z-A-II-3,1,2019,nao,moderno>=2016,MAJOR VIEIRA,
topo,50k,SG-22-Z-A-II-4,1,2019,nao,moderno>=2016,PAPANDUVA,
topo,50k,SG-22-Z-A-IV-1,1,2019,nao,moderno>=2016,CACHOEIRA,
topo,50k,SG-22-Z-A-IV-2,1,2019,nao,moderno>=2016,TIMBÓ GRANDE,
topo,50k,SG-22-Z-A-IV-3,1,2019,nao,moderno>=2016,CAÇADOR - E,
topo,50k,SG-22-Z-A-IV-4,1,2019,nao,moderno>=2016,LEBON RÉGIS,
topo,50k,SG-22-Z-A-V-1,1,2019,nao,moderno>=2016,RESIDÊNCIA FUCK,
topo,50k,SG-22-Z-A-V-2,1,2019,nao,moderno>=2016,CRAVEIRO,
topo,50k,SG-22-Z-A-V-3,1,2019,nao,moderno>=2016,SANTA CECÍLIA,
topo,50k,SG-22-Z-A-V-4,1,2019,nao,moderno>=2016,SANTA TEREZINHA,
topo,50k,SG-22-Z-C-I-1,1,2019,nao,moderno>=2016,FRAIBURGO,
topo,50k,SG-22-Z-C-I-2,1,2019,nao,moderno>=2016,MAROMBAS BOSSARDI,
topo,50k,SG-22-Z-C-I-3,1,2019,nao,moderno>=2016,VARGEM,
topo,50k,SG-22-Z-C-I-4,1,2019,nao,moderno>=2016,CURITIBANOS,
topo,50k,SG-22-Z-C-II-1,1,2019,nao,moderno>=2016,PONTE ALTA DO NORTE,
topo,50k,SG-22-Z-C-II-2,1,2019,nao,moderno>=2016,TAIÓ,
topo,50k,SG-22-Z-C-II-3,1,2019,nao,moderno>=2016,SÃO CRISTÓVÃO DO SUL,
topo,50k,SG-22-Z-C-II-4,1,2019,nao,moderno>=2016,OTACÍLIO COSTA,
topo,50k,SG-22-Z-C-IV-1,1,2019,nao,moderno>=2016,CANOAS,
topo,50k,SG-22-Z-C-IV-2,1,2019,nao,moderno>=2016,SÃO JOSÉ DO CERRITO,
topo,50k,SG-22-Z-C-IV-3,1,2019,nao,moderno>=2016,CAMPO BELO DO SUL,
topo,50k,SG-22-Z-C-IV-4,1,2019,nao,moderno>=2016,CAPÃO ALTO,
topo,50k,SG-22-Z-C-V-1,1,2019,nao,moderno>=2016,CORREIA PINTO,
